industry,category,question,current_answer,proposed_answer,Jon's proposed answer,Jon's explanation
plumbing,Emergency,Do you offer emergency plumbing?,"Yes. We prioritize active leaks, flooding, and sewage issues.","Yes, we do. What's going on?","Yes, we do.  What's going on?","The caller doesn't want to know details.  They have a specific need and reason for calling and just want to know if the business can handle it.  They don't care about everything the business does, just their need.  "
plumbing,Emergency,What should I do for a burst pipe?,"Shut off the main water valve if it’s safe, then call us right away.","If you can do it safely, shut off the main water valve. Then tell me what's going on, and I can help from there.",,
plumbing,Emergency,What should I do if I smell gas?,"Please leave the home immediately and call 911 first. Once you’re safe, call us back.",Please leave right away and call 911 first.,,
plumbing,Services,Do you handle drain clogs and backups?,"Yes. We clear clogs, inspect lines, and recommend next steps.","Yes, we do. We clear clogs, inspect lines, and recommend next steps. Tell me a little about what you need, and I can help from there.",,
plumbing,Services,Do you fix leaking faucets or toilets?,Yes. We repair fixtures and replace worn parts.,"Yes, we do. We repair fixtures and replace worn parts. Tell me a little about what you need, and I can help from there.",,
plumbing,Services,Do you repair or replace water heaters?,Yes. We service standard and tankless water heaters.,"Yes, we do. We service standard and tankless water heaters. Tell me a little about what you need, and I can help from there.",,
plumbing,Services,Do you work on sewer lines?,Yes. We can inspect and repair sewer and drain lines.,"Yes, we do. We can inspect and repair sewer and drain lines. Tell me a little about what you need, and I can help from there.",,
plumbing,Services,Do you install new fixtures?,"Yes. We install faucets, toilets, disposals, and more.","Yes, we do. We install faucets, toilets, disposals, and more. Tell me a little about what you need, and I can help from there.",,
plumbing,Services,Can you locate a leak?,Yes. We can diagnose leaks and explain next steps.,"Yes, we can diagnose leaks and explain next steps. Tell me a little about what you need, and I can help from there.",,
plumbing,Coverage,What areas do you service?,We serve the local area. Share your address and we’ll confirm coverage.,"We serve the local area. If you give me the address, I can confirm whether you are in range.",,
plumbing,Scheduling,How quickly can someone come out?,We prioritize urgent issues and schedule the soonest available time.,"We prioritize urgent issues and schedule the soonest available time. Tell me what’s going on, and I can help with the next step.",,
plumbing,Scheduling,Do I need to be home for the visit?,"For most repairs, yes. We can discuss access if needed.","In most cases, yes. If that is difficult, I can talk through the best option for access.",,
plumbing,Preparation,How do I prepare for a visit?,Clear access to the problem area and ensure water shutoff is reachable.,Clear access to the problem area and ensure water shutoff is reachable.,,
plumbing,Pricing,Will you provide an estimate?,Yes. The technician will review the issue and provide pricing before work begins.,"Yes, we will. The team will review the issue and provide pricing before work begins. Tell me a little more, and I can help with the next step.",,
plumbing,Pricing,Do you charge a service fee?,We’ll let you know any service or diagnostic fee when scheduling.,I’ll let you know any service or diagnostic fee when scheduling.,,
plumbing,Process,Do you handle insurance claims?,We can provide documentation to help with claims.,"Yes, we can provide documentation to help with claims.",,
plumbing,Warranty,Do you guarantee your work?,We stand by our repairs and will review any concerns.,"We stand by our repairs and will review any concerns. Tell me a little more, and I can help with the next step.",,
plumbing,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
plumbing,Process,Will you clean up after the repair?,Yes. We aim to leave the area clean and safe.,"Yes, we will. We aim to leave the area clean and safe. Tell me a little more, and I can help with the next step.",,
plumbing,Support,What if the issue comes back?,Call us and we’ll take a look. We want the problem resolved.,Call us and we will take a look. We want the problem resolved.,,
plumbing,Pricing,Do you offer free estimates?,We can schedule an on-site assessment and provide pricing after the technician reviews the issue.,"Yes. I can get a few details and help set up the next step for an estimate. Tell me a little more, and I can help with the next step.",,
